airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
DEN,dep,pre_20250101_0414,86056,85367,689.0,18364.0,259174.0,104,827.4615384615385,0.008006414427814447,0.21511825412630173,3.0116900622850236
DEN,dep,stress_20250415_0519,29703,29527,176.0,8033.0,115406.0,35,848.6571428571428,0.005925327408005925,0.272056084261862,3.8853314480018852
DFW,arr,cap_20250616_1025,117999,115223,2776.0,28424.0,400836.0,132,893.9318181818181,0.023525623098500835,0.24668685939439175,3.39694404189866
DFW,arr,extension_20251026_1231,55953,54823,1130.0,12982.0,204744.0,67,835.1194029850747,0.020195521241041587,0.23679842401911608,3.6592139831644417
DFW,arr,interim_20250520_0615,24512,23889,623.0,7442.0,125389.0,27,907.8518518518518,0.0254161227154047,0.3115241324458956,5.115412859007833
DFW,arr,pre_20250101_0414,87077,83926,3151.0,18793.0,323865.0,104,837.2788461538462,0.036186363792964846,0.22392345637823796,3.719294417584437
DFW,arr,stress_20250415_0519,30311,29053,1258.0,7936.0,175535.0,35,866.0285714285715,0.04150308468872686,0.27315595635562595,5.791131932301805
DFW,dep,cap_20250616_1025,117988,115276,2712.0,34585.0,399474.0,132,893.8484848484849,0.022985388344577414,0.3000190846316666,3.3857171915788045
DFW,dep,extension_20251026_1231,55950,54893,1057.0,15845.0,147134.0,67,835.0746268656717,0.018891867739052725,0.2886524693494617,2.6297408400357463
DFW,dep,interim_20250520_0615,24511,23887,624.0,8158.0,98063.0,27,907.8148148148148,0.0254579576516666,0.3415246786955248,4.000775162172086
DFW,dep,pre_20250101_0414,87098,84017,3081.0,20578.0,250884.0,104,837.4807692307693,0.03537394658889986,0.24492662199316806,2.8804794599187122
DFW,dep,stress_20250415_0519,30307,29075,1232.0,8816.0,111594.0,35,865.9142857142857,0.04065067476160623,0.3032158211521926,3.6821196423268554
DTW,arr,cap_20250616_1025,46542,46116,426.0,8548.0,103389.0,132,352.59090909090907,0.009153023075931417,0.18535866076849683,2.221412917364961
DTW,arr,extension_20251026_1231,21845,21316,529.0,5059.0,66595.0,67,326.04477611940297,0.024216067750057222,0.2373334584349784,3.0485236896314944
DTW,arr,interim_20250520_0615,9391,9358,33.0,1570.0,14527.0,27,347.81481481481484,0.0035140027686082417,0.1677708912160718,1.546906612714301
DTW,arr,pre_20250101_0414,32882,32512,370.0,6429.0,73672.0,104,316.1730769230769,0.011252356912596557,0.1977423720472441,2.240496320175172
DTW,arr,stress_20250415_0519,11872,11830,42.0,1977.0,22471.0,35,339.2,0.003537735849056604,0.16711749788672867,1.892772911051213
DTW,dep,cap_20250616_1025,46556,46146,410.0,8851.0,150733.0,132,352.6969696969697,0.008806598505026205,0.1918042733931435,3.2376707620929635
DTW,dep,extension_20251026_1231,21837,21309,528.0,5183.0,126829.0,67,325.92537313432837,0.024179145487017446,0.24323055985733727,5.8079864450245
DTW,dep,interim_20250520_0615,9390,9361,29.0,1581.0,25970.0,27,347.77777777777777,0.00308839190628328,0.16889221237047325,2.7657082002129925
DTW,dep,pre_20250101_0414,32883,32531,352.0,6424.0,128078.0,104,316.1826923076923,0.010704619408204847,0.19747317942885248,3.89496092205699
DTW,dep,stress_20250415_0519,11867,11829,38.0,1971.0,44816.0,35,339.0571428571429,0.0032021572427740792,0.16662439766675122,3.776523131372714
