airport,side,period,days,scheduled_ops,nas_delay_minutes,ops_per_day,nas_min_per_day,nas_min_per_op
EWR,dep,cap_20250616_1025,132,44225,248185.0,335.0378787878788,1880.189393939394,5.611871113623516
EWR,dep,extension_20251026_1231,67,23170,151439.0,345.82089552238807,2260.283582089552,6.535994820889081
EWR,dep,interim_20250520_0615,27,7457,40275.0,276.18518518518516,1491.6666666666667,5.400965535738233
EWR,dep,pre_20250101_0414,104,34771,135533.0,334.33653846153845,1303.201923076923,3.8978746656696672
EWR,dep,stress_20250415_0519,35,10663,95542.0,304.65714285714284,2729.7714285714287,8.960142549001219
IAD,arr,cap_20250616_1025,132,21792,76390.0,165.0909090909091,578.7121212121212,3.50541483113069
IAD,arr,extension_20251026_1231,67,10134,27382.0,151.2537313432836,408.6865671641791,2.701993289915137
IAD,arr,interim_20250520_0615,27,4802,13001.0,177.85185185185185,481.51851851851853,2.7074135776759682
IAD,arr,pre_20250101_0414,104,14707,32288.0,141.41346153846155,310.46153846153845,2.1954171482967295
IAD,arr,stress_20250415_0519,35,6045,18952.0,172.71428571428572,541.4857142857143,3.1351530190239867
IAD,dep,cap_20250616_1025,132,21799,82193.0,165.1439393939394,622.6742424242424,3.770494059360521
IAD,dep,extension_20251026_1231,67,10198,46694.0,152.2089552238806,696.9253731343283,4.578740929594038
IAD,dep,interim_20250520_0615,27,4800,27515.0,177.77777777777777,1019.074074074074,5.732291666666667
IAD,dep,pre_20250101_0414,104,14704,59390.0,141.3846153846154,571.0576923076923,4.039036996735582
IAD,dep,stress_20250415_0519,35,6045,35405.0,172.71428571428572,1011.5714285714286,5.856906534325889
JFK,arr,cap_20250616_1025,132,38557,266322.0,292.0984848484849,2017.590909090909,6.9072282594600205
JFK,arr,extension_20251026_1231,67,19174,97638.0,286.17910447761193,1457.2835820895523,5.092208198602274
JFK,arr,interim_20250520_0615,27,7909,40490.0,292.9259259259259,1499.6296296296296,5.119484132001517
JFK,arr,pre_20250101_0414,104,28897,117544.0,277.8557692307692,1130.2307692307693,4.0676886874069975
JFK,arr,stress_20250415_0519,35,10156,76206.0,290.1714285714286,2177.3142857142857,7.503544702638834
JFK,dep,cap_20250616_1025,132,38595,219764.0,292.3863636363636,1664.878787878788,5.694105454074362
JFK,dep,extension_20251026_1231,67,19191,118649.0,286.43283582089555,1770.8805970149253,6.182533479235058
JFK,dep,interim_20250520_0615,27,7910,44415.0,292.962962962963,1645.0,5.615044247787611
JFK,dep,pre_20250101_0414,104,28900,144534.0,277.88461538461536,1389.75,5.001176470588235
JFK,dep,stress_20250415_0519,35,10164,54846.0,290.4,1567.0285714285715,5.396103896103896
LGA,arr,cap_20250616_1025,132,49853,377657.0,377.67424242424244,2861.037878787879,7.575411710428661
LGA,arr,extension_20251026_1231,67,25418,293792.0,379.3731343283582,4384.955223880597,11.558423164686443
LGA,arr,interim_20250520_0615,27,9987,36858.0,369.8888888888889,1365.111111111111,3.690597777110243
LGA,arr,pre_20250101_0414,104,37381,169884.0,359.4326923076923,1633.5,4.544661726545571
LGA,arr,stress_20250415_0519,35,13067,124705.0,373.34285714285716,3563.0,9.54350654320043
LGA,dep,cap_20250616_1025,132,49855,308767.0,377.68939393939394,2339.1439393939395,6.193300571657808
LGA,dep,extension_20251026_1231,67,25410,209496.0,379.25373134328356,3126.805970149254,8.244628099173553
LGA,dep,interim_20250520_0615,27,9989,61655.0,369.962962962963,2283.5185185185187,6.1722895184703175
LGA,dep,pre_20250101_0414,104,37380,165967.0,359.4230769230769,1595.8365384615386,4.439994649545211
LGA,dep,stress_20250415_0519,35,13091,72908.0,374.0285714285714,2083.0857142857144,5.569322435260866
ORD,arr,cap_20250616_1025,132,129777,781346.0,983.1590909090909,5919.287878787879,6.020681630797445
ORD,arr,extension_20251026_1231,67,62246,548383.0,929.044776119403,8184.820895522388,8.80993156186743
ORD,arr,interim_20250520_0615,27,25522,109225.0,945.2592592592592,4045.3703703703704,4.279641093958154
ORD,arr,pre_20250101_0414,104,78399,347257.0,753.8365384615385,3339.0096153846152,4.429354966262324
ORD,arr,stress_20250415_0519,35,31067,87069.0,887.6285714285714,2487.6857142857143,2.8026201435606914
ORD,dep,cap_20250616_1025,132,129787,489393.0,983.2348484848485,3707.5227272727275,3.7707397505143043
ORD,dep,extension_20251026_1231,67,62257,381713.0,929.2089552238806,5697.20895522388,6.131246285558251
ORD,dep,interim_20250520_0615,27,25525,80728.0,945.3703703703703,2989.925925925926,3.1627032321253674
ORD,dep,pre_20250101_0414,104,78402,293470.0,753.8653846153846,2821.826923076923,3.743144307543175
ORD,dep,stress_20250415_0519,35,31057,113391.0,887.3428571428572,3239.7428571428572,3.6510609524422835
PHL,arr,cap_20250616_1025,132,38235,161753.0,289.65909090909093,1225.4015151515152,4.230495619197071
PHL,arr,extension_20251026_1231,67,16742,38373.0,249.88059701492537,572.7313432835821,2.2920200692868233
PHL,arr,interim_20250520_0615,27,7750,26112.0,287.037037037037,967.1111111111111,3.369290322580645
PHL,arr,pre_20250101_0414,104,24713,64806.0,237.625,623.1346153846154,2.622344515032574
PHL,arr,stress_20250415_0519,35,10070,42784.0,287.7142857142857,1222.4,4.248659384309831
PHL,dep,cap_20250616_1025,132,38250,165852.0,289.77272727272725,1256.4545454545455,4.336
PHL,dep,extension_20251026_1231,67,16739,90692.0,249.83582089552237,1353.6119402985075,5.418005854591074
PHL,dep,interim_20250520_0615,27,7752,43852.0,287.1111111111111,1624.148148148148,5.6568627450980395
PHL,dep,pre_20250101_0414,104,24706,113097.0,237.55769230769232,1087.4711538461538,4.577713915648021
PHL,dep,stress_20250415_0519,35,10072,48068.0,287.77142857142854,1373.3714285714286,4.7724384432088955
