IATA_CODE_Reporting_Airline,Reporting_Airline,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
B6,B6,dep,stress_20250415_0519,35,542,520,22.0,139.0,4829.0,0.0,15.485714285714286,0.04059040590405904,0.2673076923076923,8.909594095940959
B6,B6,dep,interim_20250520_0615,27,432,432,0.0,74.0,2683.0,253.0,16.0,0.0,0.1712962962962963,6.210648148148148
B6,B6,dep,cap_20250616_1025,132,1897,1842,55.0,432.0,10319.0,4288.0,14.371212121212121,0.028993147074327884,0.23452768729641693,5.439641539272536
B6,B6,dep,extension_20251026_1231,67,990,949,41.0,274.0,8230.0,1426.0,14.776119402985074,0.04141414141414142,0.28872497365648053,8.313131313131313
DL,DL,arr,pre_20250101_0414,104,1750,1737,13.0,509.0,11513.0,3638.0,16.826923076923077,0.0074285714285714285,0.29303396660909614,6.578857142857143
DL,DL,arr,stress_20250415_0519,35,603,594,9.0,384.0,33579.0,324.0,17.228571428571428,0.014925373134328358,0.6464646464646465,55.6865671641791
DL,DL,arr,interim_20250520_0615,27,471,468,3.0,165.0,5885.0,280.0,17.444444444444443,0.006369426751592357,0.3525641025641026,12.494692144373673
DL,DL,arr,cap_20250616_1025,132,2537,2477,60.0,772.0,37621.0,2492.0,19.21969696969697,0.023649980291683092,0.3116673395236173,14.828931809223493
DL,DL,arr,extension_20251026_1231,67,1219,1155,64.0,395.0,13859.0,2445.0,18.19402985074627,0.052502050861361775,0.341991341991342,11.36915504511895
DL,DL,dep,pre_20250101_0414,104,1750,1736,14.0,445.0,5150.0,1032.0,16.826923076923077,0.008,0.2563364055299539,2.942857142857143
DL,DL,dep,stress_20250415_0519,35,603,594,9.0,273.0,4580.0,0.0,17.228571428571428,0.014925373134328358,0.4595959595959596,7.595356550580431
DL,DL,dep,interim_20250520_0615,27,471,466,5.0,116.0,2262.0,8.0,17.444444444444443,0.010615711252653927,0.24892703862660945,4.802547770700637
DL,DL,dep,cap_20250616_1025,132,2537,2477,60.0,651.0,15143.0,3198.0,19.21969696969697,0.023649980291683092,0.26281792490916434,5.968860859282617
DL,DL,dep,extension_20251026_1231,67,1220,1155,65.0,338.0,4690.0,2291.0,18.208955223880597,0.05327868852459016,0.29264069264069265,3.8442622950819674
F9,F9,arr,pre_20250101_0414,104,312,304,8.0,123.0,2570.0,127.0,3.0,0.02564102564102564,0.40460526315789475,8.237179487179487
F9,F9,arr,stress_20250415_0519,35,105,101,4.0,58.0,2554.0,34.0,3.0,0.0380952380952381,0.5742574257425742,24.323809523809523
F9,F9,arr,interim_20250520_0615,27,81,79,2.0,38.0,603.0,16.0,3.0,0.024691358024691357,0.4810126582278481,7.444444444444445
F9,F9,arr,cap_20250616_1025,132,396,390,6.0,139.0,2983.0,202.0,3.0,0.015151515151515152,0.3564102564102564,7.532828282828283
F9,F9,arr,extension_20251026_1231,67,200,191,9.0,86.0,2330.0,67.0,2.985074626865672,0.045,0.450261780104712,11.65
F9,F9,dep,pre_20250101_0414,104,312,302,10.0,113.0,3187.0,267.0,3.0,0.03205128205128205,0.3741721854304636,10.21474358974359
F9,F9,dep,stress_20250415_0519,35,105,100,5.0,48.0,673.0,0.0,3.0,0.047619047619047616,0.48,6.40952380952381
F9,F9,dep,interim_20250520_0615,27,81,78,3.0,21.0,396.0,0.0,3.0,0.037037037037037035,0.2692307692307692,4.888888888888889
F9,F9,dep,cap_20250616_1025,132,395,389,6.0,104.0,2504.0,20.0,2.992424242424242,0.015189873417721518,0.26735218508997427,6.339240506329114
F9,F9,dep,extension_20251026_1231,67,200,188,12.0,63.0,1476.0,263.0,2.985074626865672,0.06,0.3351063829787234,7.38
G4,G4,arr,pre_20250101_0414,73,124,123,1.0,13.0,264.0,160.0,1.6986301369863013,0.008064516129032258,0.10569105691056911,2.129032258064516
G4,G4,arr,stress_20250415_0519,24,44,44,0.0,23.0,2298.0,0.0,1.8333333333333333,0.0,0.5227272727272727,52.22727272727273
G4,G4,arr,interim_20250520_0615,26,71,71,0.0,19.0,913.0,0.0,2.730769230769231,0.0,0.2676056338028169,12.859154929577464
