airport,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op,weather_delay_per_scheduled_op
IAD,dep,pre_20250101_0414,104,14704,14513,191.0,2208.0,59390.0,15479.0,141.3846153846154,0.012989662676822633,0.15213946117274169,4.039036996735582,1.0527067464635473
IAD,dep,stress_20250415_0519,35,6045,6010,35.0,1071.0,35405.0,10893.0,172.71428571428572,0.005789909015715467,0.17820299500831946,5.856906534325889,1.801985111662531
IAD,dep,interim_20250520_0615,27,4800,4777,23.0,875.0,27515.0,12844.0,177.77777777777777,0.004791666666666666,0.1831693531505129,5.732291666666667,2.6758333333333333
IAD,dep,cap_20250616_1025,132,21799,21540,259.0,4127.0,82193.0,41496.0,165.1439393939394,0.011881278957750355,0.1915970287836583,3.770494059360521,1.903573558420111
IAD,dep,extension_20251026_1231,67,10198,10094,104.0,1880.0,46694.0,6669.0,152.2089552238806,0.010198078054520495,0.18624925698434713,4.578740929594038,0.6539517552461267
JFK,arr,pre_20250101_0414,104,28897,28496,401.0,5665.0,117544.0,22522.0,277.8557692307692,0.013876873031802609,0.198799831555306,4.0676886874069975,0.7793888638959061
JFK,arr,stress_20250415_0519,35,10156,10101,55.0,2488.0,76206.0,4469.0,290.1714285714286,0.005415517920441118,0.24631224631224632,7.503544702638834,0.44003544702638836
JFK,arr,interim_20250520_0615,27,7909,7868,41.0,1799.0,40490.0,6750.0,292.9259259259259,0.00518396763181186,0.22864768683274023,5.119484132001517,0.8534580857251233
JFK,arr,cap_20250616_1025,132,38557,37600,957.0,8804.0,266322.0,26208.0,292.0984848484849,0.024820395777679798,0.23414893617021276,6.9072282594600205,0.6797209326451746
JFK,arr,extension_20251026_1231,67,19174,18483,691.0,4398.0,97638.0,12360.0,286.17910447761193,0.03603838531344529,0.23794838500243468,5.092208198602274,0.6446229268801502
JFK,dep,pre_20250101_0414,104,28900,28506,394.0,5218.0,144534.0,14438.0,277.88461538461536,0.013633217993079585,0.18304918262821862,5.001176470588235,0.4995847750865052
JFK,dep,stress_20250415_0519,35,10164,10115,49.0,1836.0,54846.0,5370.0,290.4,0.0048209366391184574,0.1815126050420168,5.396103896103896,0.5283353010625738
JFK,dep,interim_20250520_0615,27,7910,7871,39.0,1553.0,44415.0,2178.0,292.962962962963,0.004930467762326169,0.1973065684157032,5.615044247787611,0.2753476611883692
JFK,dep,cap_20250616_1025,132,38595,37665,930.0,8551.0,219764.0,22593.0,292.3863636363636,0.024096385542168676,0.2270277445904686,5.694105454074362,0.5853867081228138
JFK,dep,extension_20251026_1231,67,19191,18487,704.0,4601.0,118649.0,18548.0,286.43283582089555,0.03668386222708561,0.24887758965759724,6.182533479235058,0.9664947110624772
LGA,arr,pre_20250101_0414,104,37381,36643,738.0,7898.0,169884.0,26306.0,359.4326923076923,0.019742650009363046,0.21553912070518244,4.544661726545571,0.703726492068163
LGA,arr,stress_20250415_0519,35,13067,12854,213.0,3451.0,124705.0,16495.0,373.34285714285716,0.016300604576413868,0.26847673875836314,9.54350654320043,1.262340246422285
LGA,arr,interim_20250520_0615,27,9987,9903,84.0,2168.0,36858.0,11305.0,369.8888888888889,0.008410934214478822,0.21892355851762094,3.690597777110243,1.1319715630319416
LGA,arr,cap_20250616_1025,132,49853,48044,1809.0,12479.0,377657.0,61046.0,377.67424242424244,0.03628668284757186,0.25974107068520524,7.575411710428661,1.2245200890618417
LGA,arr,extension_20251026_1231,67,25418,24244,1174.0,8247.0,293792.0,27204.0,379.3731343283582,0.04618774097096546,0.3401666391684541,11.558423164686443,1.0702651664174994
