airport,side,period,hour_group,hours,avg_ops_per_hour,p90_ops_per_hour,p95_ops_per_hour,max_ops_per_hour,share_above_28,share_above_34,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
LGA,arr,early_interim,Other hours,98,2.979591836734694,22.0,23.0,23,0.0,0.0,292,291.0,1.0,82.0,901.0,0.003424657534246575,0.281786941580756,3.085616438356164
LGA,arr,late_interim,Facilitated hours,221,20.4841628959276,28.0,29.0,30,0.08144796380090498,0.0,4527,4464.0,63.0,1136.0,23086.0,0.013916500994035786,0.25448028673835127,5.099624475370002
LGA,arr,late_interim,Other hours,91,3.3516483516483517,22.0,25.5,26,0.0,0.0,305,294.0,11.0,114.0,1173.0,0.036065573770491806,0.3877551020408163,3.8459016393442624
LGA,arr,reference,Facilitated hours,476,20.537815126050422,28.0,28.0,29,0.025210084033613446,0.0,9776,9665.0,111.0,2026.0,40788.0,0.011354337152209492,0.20962234868080704,4.172258592471358
LGA,arr,reference,Other hours,196,2.9183673469387754,20.5,21.0,24,0.0,0.0,572,562.0,10.0,189.0,2089.0,0.017482517482517484,0.33629893238434166,3.652097902097902
LGA,arr,stress,Facilitated hours,595,20.715966386554623,28.0,29.0,31,0.08067226890756303,0.0,12326,12134.0,192.0,3177.0,117686.0,0.015576829466169074,0.26182627328168784,9.54778516956028
LGA,arr,stress,Other hours,245,3.024489795918367,21.599999999999994,23.0,24,0.0,0.0,741,720.0,21.0,274.0,7019.0,0.02834008097165992,0.38055555555555554,9.472334682860998
LGA,dep,early_interim,Facilitated hours,238,21.470588235294116,31.0,32.0,33,0.13445378151260504,0.0,5110,5096.0,14.0,805.0,19088.0,0.0027397260273972603,0.15796703296703296,3.7354207436399216
LGA,dep,early_interim,Other hours,98,0.46938775510204084,2.5999999999999943,4.0,4,0.0,0.0,46,46.0,0.0,3.0,523.0,0.0,0.06521739130434782,11.369565217391305
LGA,dep,late_interim,Facilitated hours,221,21.687782805429865,30.0,31.0,33,0.16289592760180996,0.0,4793,4719.0,74.0,1157.0,42044.0,0.015439182140621741,0.24517906336088155,8.771959107031087
