month,side,counterpart,carrier,carrier_group,departures_performed,seats,passengers,distance
1,arr,TPA,UA,United,220.0,38754.0,29576.0,997.0
1,arr,TYS,G4,Other carriers,13.0,2397.0,1940.0,631.0
1,arr,VPS,G4,Other carriers,2.0,312.0,291.0,988.0
1,arr,YIP,ZW,Other carriers,1.0,50.0,15.0,497.0
1,dep,ALB,G7,Other carriers,61.0,3050.0,2258.0,143.0
1,dep,ANC,FX,Other carriers,23.0,0.0,0.0,3370.0
1,dep,ANC,VJT,Other carriers,1.0,14.0,1.0,3370.0
1,dep,ATL,5X,Other carriers,1.0,0.0,0.0,746.0
1,dep,ATL,DL,Other carriers,244.0,37029.0,32196.0,746.0
1,dep,ATL,F9,Other carriers,28.0,5262.0,3488.0,746.0
1,dep,ATL,GCA,Other carriers,1.0,68.0,0.0,746.0
1,dep,ATL,NK,Other carriers,50.0,10270.0,8683.0,746.0
1,dep,ATL,UA,United,158.0,21976.0,17452.0,746.0
1,dep,ATL,YX,Other carriers,7.0,526.0,508.0,746.0
1,dep,AUS,C5,Other carriers,1.0,75.0,46.0,1504.0
1,dep,AUS,NK,Other carriers,8.0,1408.0,1321.0,1504.0
1,dep,AUS,UA,United,143.0,22538.0,19132.0,1504.0
1,dep,AVL,G4,Other carriers,10.0,1773.0,1233.0,583.0
1,dep,AVL,G7,Other carriers,8.0,400.0,305.0,583.0
1,dep,AVL,YX,Other carriers,25.0,1894.0,1177.0,583.0
1,dep,BED,7H,Other carriers,1.0,78.0,48.0,193.0
1,dep,BED,GCA,Other carriers,4.0,810.0,138.0,193.0
1,dep,BGR,YX,Other carriers,31.0,2218.0,2046.0,393.0
1,dep,BMG,MX,Other carriers,1.0,108.0,36.0,669.0
1,dep,BNA,NK,Other carriers,29.0,5104.0,3791.0,748.0
1,dep,BNA,UA,United,110.0,15138.0,12397.0,748.0
1,dep,BNA,YX,Other carriers,13.0,982.0,886.0,748.0
1,dep,BOS,AC,Other carriers,1.0,70.0,48.0,200.0
1,dep,BOS,FX,Other carriers,34.0,0.0,0.0,200.0
1,dep,BOS,NK,Other carriers,7.0,1232.0,984.0,200.0
1,dep,BOS,UA,United,210.0,33413.0,22816.0,200.0
1,dep,BOS,YX,Other carriers,86.0,6266.0,4147.0,200.0
1,dep,BQN,UA,United,31.0,5549.0,5183.0,1585.0
1,dep,BTV,G7,Other carriers,25.0,1250.0,856.0,266.0
1,dep,BTV,TJ,Other carriers,1.0,8.0,2.0,266.0
1,dep,BTV,UA,United,32.0,5402.0,2721.0,266.0
1,dep,BTV,YX,Other carriers,6.0,432.0,332.0,266.0
1,dep,BUF,G7,Other carriers,54.0,2700.0,2495.0,282.0
1,dep,BUF,UA,United,6.0,1074.0,654.0,282.0
1,dep,BUF,YX,Other carriers,24.0,1692.0,1316.0,282.0
1,dep,BWI,FX,Other carriers,31.0,0.0,0.0,169.0
1,dep,BZN,UA,United,35.0,5730.0,3314.0,1882.0
1,dep,CHS,NK,Other carriers,22.0,3872.0,2596.0,628.0
1,dep,CHS,UA,United,54.0,7455.0,5383.0,628.0
1,dep,CHS,YX,Other carriers,31.0,2338.0,1927.0,628.0
1,dep,CLE,DL,Other carriers,1.0,72.0,60.0,404.0
1,dep,CLE,G7,Other carriers,18.0,900.0,832.0,404.0
1,dep,CLE,UA,United,112.0,16745.0,9340.0,404.0
1,dep,CLE,YX,Other carriers,73.0,5548.0,4800.0,404.0
1,dep,CLT,AA,Other carriers,167.0,28806.0,22365.0,529.0
1,dep,CLT,DL,Other carriers,1.0,72.0,51.0,529.0
1,dep,CLT,NK,Other carriers,31.0,5880.0,3997.0,529.0
1,dep,CLT,UA,United,56.0,8349.0,5719.0,529.0
1,dep,CLT,YX,Other carriers,59.0,4484.0,3399.0,529.0
1,dep,CMH,G7,Other carriers,48.0,2400.0,2084.0,463.0
1,dep,CMH,YX,Other carriers,102.0,7434.0,6540.0,463.0
1,dep,CRW,MX,Other carriers,8.0,1067.0,568.0,427.0
1,dep,CVG,9E,Other carriers,72.0,5458.0,3363.0,569.0
1,dep,CVG,ABX,Other carriers,1.0,0.0,0.0,569.0
1,dep,CVG,G4,Other carriers,2.0,312.0,202.0,569.0
1,dep,CVG,G7,Other carriers,35.0,1750.0,1469.0,569.0
1,dep,CVG,YX,Other carriers,67.0,4966.0,3405.0,569.0
1,dep,DAY,ZW,Other carriers,1.0,50.0,0.0,533.0
1,dep,DCA,G7,Other carriers,216.0,10800.0,8100.0,199.0
1,dep,DCA,YX,Other carriers,30.0,2274.0,1534.0,199.0
1,dep,DEN,DL,Other carriers,1.0,72.0,57.0,1605.0
1,dep,DEN,UA,United,257.0,47766.0,40638.0,1605.0
1,dep,DFW,5X,Other carriers,10.0,0.0,0.0,1372.0
1,dep,DFW,AA,Other carriers,103.0,18814.0,15351.0,1372.0
1,dep,DFW,NK,Other carriers,37.0,6512.0,5566.0,1372.0
1,dep,DFW,UA,United,154.0,20056.0,15962.0,1372.0
1,dep,DFW,YX,Other carriers,1.0,70.0,63.0,1372.0
1,dep,DSM,G4,Other carriers,2.0,360.0,310.0,1017.0
1,dep,DTW,DL,Other carriers,116.0,12701.0,10147.0,488.0
1,dep,DTW,G7,Other carriers,28.0,1400.0,1254.0,488.0
1,dep,DTW,NK,Other carriers,1.0,222.0,75.0,488.0
1,dep,DTW,UA,United,27.0,3880.0,2564.0,488.0
1,dep,DTW,YX,Other carriers,56.0,4142.0,3392.0,488.0
1,dep,EGE,UA,United,30.0,5280.0,3590.0,1725.0
1,dep,EYW,UA,United,31.0,3906.0,3397.0,1196.0
1,dep,FLL,5Y,Other carriers,1.0,189.0,168.0,1065.0
1,dep,FLL,B6,Other carriers,105.0,16986.0,14127.0,1065.0
1,dep,FLL,DL,Other carriers,1.0,72.0,48.0,1065.0
1,dep,FLL,NK,Other carriers,142.0,26394.0,21823.0,1065.0
1,dep,FLL,UA,United,278.0,47360.0,38284.0,1065.0
1,dep,GRR,UA,United,1.0,179.0,163.0,605.0
1,dep,GRR,YX,Other carriers,61.0,4594.0,3802.0,605.0
1,dep,GSO,DL,Other carriers,1.0,160.0,81.0,445.0
1,dep,GSO,FX,Other carriers,16.0,0.0,0.0,445.0
1,dep,GSO,G7,Other carriers,60.0,3000.0,2512.0,445.0
1,dep,GSP,G7,Other carriers,48.0,2400.0,2143.0,594.0
1,dep,GSP,YX,Other carriers,11.0,818.0,782.0,594.0
1,dep,HDN,UA,United,18.0,2988.0,1633.0,1728.0
1,dep,HNL,UA,United,26.0,6006.0,4238.0,4962.0
1,dep,HNL,VJT,Other carriers,1.0,14.0,2.0,4962.0
1,dep,HOU,DL,Other carriers,1.0,72.0,57.0,1411.0
1,dep,HPN,DL,Other carriers,2.0,144.0,0.0,35.0
1,dep,IAD,DL,Other carriers,3.0,216.0,56.0,212.0
1,dep,IAD,FX,Other carriers,50.0,0.0,0.0,212.0
